Fecha;Doc.-nro. interno;Comprobante;Descripción;Condición pago;Lista de precios;Cliente;Vendedor;Producto;Cantidad;Unidad;Precio;Importe;Moneda;Importe mon. principal;Año - mes;Marca;Indentificaciontributaria;Nrodeidentificacion;Nombreusuarioalta
2026-05-05;PEDVEND - 25921;P-1001-00016390;;30 dias;LISTA DE PRECIOS VIGENTE ;AGROP. LA TREGUA S.A;Hernan Piñero;BIOPOLIGEN Q x dosis;60.00000000;DOSIS;1110.941500;66656.490000;PESOS;66656.490000;2026-05;BIOGENESIS BAGO;C.U.I.T.;30-71187733-5;Hernan Piñero
2026-05-05;PEDVEND - 25921;P-1001-00016390;;30 dias;LISTA DE PRECIOS VIGENTE ;AGROP. LA TREGUA S.A;Hernan Piñero;ARRASA BOVINOS x 2.5 lts.;1.00000000;BIDON POR 2.5 LITROS;190043.994500;190043.990000;PESOS;190043.994500;2026-05;BIOGENESIS BAGO;C.U.I.T.;30-71187733-5;Hernan Piñero
2026-05-05;PEDVEND - 25921;P-1001-00016390;;30 dias;LISTA DE PRECIOS VIGENTE ;AGROP. LA TREGUA S.A;Hernan Piñero;ADEVET x 500 ml.;4.00000000;FCO x 500 CC.;34765.200000;139060.800000;PESOS;139060.800000;2026-05;VETANCO;C.U.I.T.;30-71187733-5;Hernan Piñero
2026-05-05;PEDVEND - 25921;P-1001-00016390;;30 dias;LISTA DE PRECIOS VIGENTE ;AGROP. LA TREGUA S.A;Hernan Piñero;BIOCLOSTRIGEN J5 2ML x ds.;60.00000000;DOSIS;462.102500;27726.150000;PESOS;27726.150000;2026-05;BIOGENESIS BAGO;C.U.I.T.;30-71187733-5;Hernan Piñero
2026-05-05;PEDVEND - 25921;P-1001-00016390;;30 dias;LISTA DE PRECIOS VIGENTE ;AGROP. LA TREGUA S.A;Hernan Piñero;GLYPONDIN MULTIMINERAL 4 x 250;4.80000000;FCO x 250 CC;32695.200000;156936.960000;PESOS;156936.960000;2026-05;KONIG;C.U.I.T.;30-71187733-5;Hernan Piñero
2026-05-06;PEDVEND - 25949;P-1001-00016421;BIOCONECTA;30 dias;BioConecta;AGROP. LAS SEMILLAS S.R.L.;Hernan Piñero;ROTATEC J5 x ds.;4640.00000000;DOSIS;1086.489000;5041308.960000;PESOS;5041308.960000;2026-05;BIOGENESIS BAGO;C.U.I.T.;30-70831335-8;Hernan Piñero
2026-05-06;PEDVEND - 25949;P-1001-00016421;BIOCONECTA;30 dias;BioConecta;AGROP. LAS SEMILLAS S.R.L.;Hernan Piñero;SUPLENUT SE - NUEVO x 500 cc.;25.00000000;FCO x 500 CC.;63364.500000;1584112.500000;PESOS;1584112.500000;2026-05;BIOGENESIS BAGO;C.U.I.T.;30-70831335-8;Hernan Piñero
2026-05-06;PEDVEND - 25950;P-1001-00016422;;30 dias;LISTA DE PRECIOS VIGENTE ;AGROP. LAS SEMILLAS S.R.L.;Hernan Piñero;HANDY - promo tacto -  BIOGENESIS (par);2.00000000;PAR;100.000000;200.000000;PESOS;200.000000;2026-05;;C.U.I.T.;30-70831335-8;Hernan Piñero
2026-05-06;PEDVEND - 25950;P-1001-00016422;;30 dias;LISTA DE PRECIOS VIGENTE ;AGROP. LAS SEMILLAS S.R.L.;Hernan Piñero;BIOPOLIGEN Q x dosis;500.00000000;DOSIS;1110.941500;555470.750000;PESOS;555470.750000;2026-05;BIOGENESIS BAGO;C.U.I.T.;30-70831335-8;Hernan Piñero
2026-05-06;PEDVEND - 25950;P-1001-00016422;;30 dias;LISTA DE PRECIOS VIGENTE ;AGROP. LAS SEMILLAS S.R.L.;Hernan Piñero;AGUJAS 16 G x 1 1/2 - 40/16 x 100 uni.;1.00000000;CAJA POR 100 UNIDADES;2533.000000;2533.000000;PESOS;2533.000000;2026-05;PROPATO HNOS. S.A.I.C.;C.U.I.T.;30-70831335-8;Hernan Piñero
